Culture:,en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date pattern short:,M/d/yyyy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time pattern long:,h:mm:ss tt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decimal separator:,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software version:,2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File location:,C:\Users\ERLLab 2\Desktop\11-2-2020Test0240.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation time:,11/2/20 17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Witrox serial number,SDWD0003000240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SETTINGS,CH 1,CH 2,CH 3,CH 4,TEMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moving average,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIBRATION,CH 1,CH 2,CH 3,CH 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase low [deg],58.87,58.52,59.26,59.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase high [deg],27.16,26.65,27.16,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature low [degC],25.77,25.76,25.76,25.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature high [degC],24.6,24.59,24.59,24.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature input,Temperature,Entered,Temperature,Temperature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date [DD-MM-YYYY],Time [HH:MM:SS],Time stamp,Relative time [HH:MM:SS],,Oxygen CH 1,Phase CH 1,Amplitude CH 1,Pressure CH 1,Salinity CH 1,Temperature CH 1,,Oxygen CH 2,Phase CH 2,Amplitude CH 2,Pressure CH 2,Salinity CH 2,Temperature CH 2,,Oxygen CH 3,Phase CH 3,Amplitude CH 3,Pressure CH 3,Salinity CH 3,Temperature CH 3,,Oxygen CH 4,Phase CH 4,Amplitude CH 4,Pressure CH 4,Salinity CH 4,Temperature CH 4,,Temperature [degC]
11/2/20,5:59:22 PM,1.32E+17,0:00:01,,6.2812,26.74,35910,1013.25,35,27.93,,6.9614,26.14,7464,1013.25,35,25.3,,6.28,26.75,43403,1013.25,35,27.93,,6.1492,26.96,34082,1013.25,35,27.93,,27.93
